id_auditoria_final,fecha,semana,id_area,riesgo_focal,tipo_auditoria,origen,rol_auditor_id,id_evento_asociado
AUF_000054,11/11/2024,1,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000052,11/12/2024,1,TME,R02,AUF,planificada,TME_ROL_04,
AUF_000001,11/13/2024,1,STM,R03,AUF,reactiva,STM_ROL_01,
AUF_000048,11/14/2024,1,STM,R01,AUF,planificada,STM_ROL_05,
AUF_000046,11/16/2024,1,TME,R01,AUF,planificada,TME_ROL_08,
AUF_000058,11/18/2024,2,STM,R03,AUF,planificada,STM_ROL_07,
AUF_000002,11/18/2024,2,TME,R01,AUF,reactiva,TME_ROL_02,
AUF_000053,11/18/2024,2,TME,R02,AUF,planificada,TME_ROL_03,
AUF_000057,11/18/2024,2,TME,R03,AUF,planificada,TME_ROL_01,
AUF_000055,11/19/2024,2,STM,R03,AUF,planificada,STM_ROL_01,
AUF_000059,11/20/2024,2,STM,R03,AUF,planificada,STM_ROL_02,
AUF_000003,11/22/2024,2,CHP,R02,AUF,reactiva,CHP_ROL_08,
AUF_000049,11/22/2024,2,CHP,R01,AUF,planificada,CHP_ROL_07,
AUF_000056,11/23/2024,2,CHP,R03,AUF,planificada,CHP_ROL_08,
AUF_000050,11/23/2024,2,MRA,R02,AUF,planificada,MRA_ROL_04,
AUF_000004,11/24/2024,2,PLC,R01,AUF,reactiva,PLC_ROL_03,
AUF_000005,11/25/2024,3,CHP,R03,AUF,reactiva,CHP_ROL_01,
AUF_000006,11/25/2024,3,MRA,R03,AUF,reactiva,MRA_ROL_06,
AUF_000047,11/25/2024,3,MRA,R01,AUF,planificada,MRA_ROL_08,
AUF_000045,11/28/2024,3,CHP,R01,AUF,planificada,CHP_ROL_07,
AUF_000007,11/28/2024,3,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000008,11/29/2024,3,CHP,R02,AUF,reactiva,CHP_ROL_05,
AUF_000051,11/30/2024,3,PLC,R02,AUF,planificada,PLC_ROL_07,
AUF_000009,12/2/2024,3,MRA,R02,AUF,reactiva,MRA_ROL_08,
AUF_000010,12/2/2024,4,MRA,R01,AUF,reactiva,MRA_ROL_02,
AUF_000013,12/9/2024,5,MRA,R01,AUF,reactiva,MRA_ROL_01,
AUF_000011,12/10/2024,4,CHP,R02,AUF,reactiva,CHP_ROL_01,
AUF_000012,12/10/2024,4,MRA,R02,AUF,reactiva,MRA_ROL_03,
AUF_000014,12/11/2024,5,TME,R03,AUF,reactiva,TME_ROL_02,
AUF_000073,12/12/2024,5,STM,R03,AUF,planificada,STM_ROL_01,
AUF_000067,12/13/2024,5,STM,R02,AUF,planificada,STM_ROL_05,
AUF_000015,12/13/2024,5,TME,R02,AUF,reactiva,TME_ROL_04,
AUF_000074,12/16/2024,6,CHP,R03,AUF,planificada,CHP_ROL_07,
AUF_000016,12/17/2024,5,STM,R02,AUF,reactiva,STM_ROL_08,
AUF_000069,12/17/2024,6,TME,R02,AUF,planificada,TME_ROL_01,
AUF_000018,12/18/2024,6,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000017,12/18/2024,6,TME,R01,AUF,reactiva,TME_ROL_06,
AUF_000019,12/19/2024,6,TME,R02,AUF,reactiva,TME_ROL_06,
AUF_000020,12/20/2024,6,MRA,R03,AUF,reactiva,MRA_ROL_02,
AUF_000065,12/21/2024,6,PLC,R02,AUF,planificada,PLC_ROL_04,
AUF_000068,12/22/2024,6,MRA,R02,AUF,planificada,MRA_ROL_08,
AUF_000070,12/24/2024,7,STM,R03,AUF,planificada,STM_ROL_08,
AUF_000063,12/26/2024,7,STM,R01,AUF,planificada,STM_ROL_04,
AUF_000021,12/26/2024,7,TME,R01,AUF,reactiva,TME_ROL_04,
AUF_000072,12/27/2024,7,MRA,R03,AUF,planificada,MRA_ROL_06,
AUF_000022,12/27/2024,7,PLC,R02,AUF,reactiva,PLC_ROL_04,
AUF_000062,12/28/2024,7,TME,R01,AUF,planificada,TME_ROL_01,
AUF_000061,12/29/2024,7,MRA,R01,AUF,planificada,MRA_ROL_02,
AUF_000064,12/29/2024,7,MRA,R01,AUF,planificada,MRA_ROL_06,
AUF_000071,12/29/2024,7,MRA,R03,AUF,planificada,MRA_ROL_07,
AUF_000060,12/29/2024,7,STM,R01,AUF,planificada,STM_ROL_08,
AUF_000024,12/30/2024,8,STM,R02,AUF,reactiva,STM_ROL_07,
AUF_000066,12/31/2024,8,CHP,R02,AUF,planificada,CHP_ROL_01,
AUF_000023,12/31/2024,7,PLC,R03,AUF,reactiva,PLC_ROL_07,
AUF_000025,1/1/2025,8,MRA,R02,AUF,reactiva,MRA_ROL_02,
AUF_000026,1/5/2025,8,CHP,R02,AUF,reactiva,CHP_ROL_08,
AUF_000027,1/5/2025,8,PLC,R03,AUF,reactiva,PLC_ROL_07,
AUF_000087,1/6/2025,9,TME,R03,AUF,planificada,TME_ROL_04,
AUF_000076,1/8/2025,9,CHP,R01,AUF,planificada,CHP_ROL_05,
AUF_000081,1/8/2025,9,PLC,R02,AUF,planificada,PLC_ROL_01,
AUF_000028,1/8/2025,9,STM,R02,AUF,reactiva,STM_ROL_04,
AUF_000078,1/10/2025,9,TME,R01,AUF,planificada,TME_ROL_04,
AUF_000030,1/11/2025,9,CHP,R02,AUF,reactiva,CHP_ROL_07,
