id_dia,fecha,semana,id_area,riesgo_id,tipo_evento,criticidad,rol_id,tarea_id,id_evento,id_evento_compuesto,es_lunes_critico,descripcion_evento,evento_principal_ocurrido
1,11/11/2024,1,CHP,R02,HAZARD,0.374910074,CHP_ROL_02,CHP_TA_005,,,,,
2,11/12/2024,1,STM,R03,NMS,0.222605938,STM_ROL_03,STM_TA_017,,,,,
3,11/13/2024,1,MRA,R02,HAZARD,0.381126198,MRA_ROL_03,MRA_TA_018,,,,,
3,11/13/2024,1,TME,R03,HAZARD,0.156637904,TME_ROL_06,TME_TA_010,,,,,
4,11/14/2024,1,MRA,R03,HAZARD,0.158995046,MRA_ROL_08,MRA_TA_018,,,,,
5,11/15/2024,1,CHP,R02,HAZARD,0.372709658,CHP_ROL_01,CHP_TA_008,,,,,
5,11/15/2024,1,MRA,R01,HAZARD,0.22233504,MRA_ROL_01,MRA_TA_019,,,,,
7,11/17/2024,1,PLC,R02,HAZARD,0.326786324,PLC_ROL_04,PLC_TA_006,,,,,
8,11/18/2024,2,CHP,R01,HAZARD,0.297794235,CHP_ROL_07,CHP_TA_009,,,,,
8,11/18/2024,2,STM,R02,HAZARD,0.400572372,STM_ROL_01,STM_TA_011,,,,,
8,11/18/2024,2,TME,R01,NMS,0.297794235,TME_ROL_08,TME_TA_005,,,,,
9,11/19/2024,2,PLC,R02,HAZARD,0.415085515,PLC_ROL_12,PLC_TA_011,,,,,
9,11/19/2024,2,TME,R03,HAZARD,0.159201084,TME_ROL_04,TME_TA_002,,,,,
10,11/20/2024,2,STM,R03,HAZARD,0.206687254,STM_ROL_05,STM_TA_005,,,,,
11,11/21/2024,2,PLC,R03,HAZARD,0.191799049,PLC_ROL_09,PLC_TA_005,,,,,
12,11/22/2024,2,CHP,R02,NMS,0.401960377,CHP_ROL_08,CHP_TA_009,,,,,
12,11/22/2024,2,STM,R02,HAZARD,0.401960377,STM_ROL_05,STM_TA_006,,,,,
12,11/22/2024,2,TME,R01,HAZARD,0.285990773,TME_ROL_07,TME_TA_009,,,,,
13,11/23/2024,2,PLC,R01,NMS,0.313089874,PLC_ROL_02,PLC_TA_012,,,,,
13,11/23/2024,2,TME,R03,HAZARD,0.19544784,TME_ROL_05,TME_TA_012,,,,,
15,11/25/2024,3,CHP,R03,NMS,0.209090472,CHP_ROL_08,CHP_TA_012,,,,,
15,11/25/2024,3,MRA,R03,NMS,0.209090472,MRA_ROL_02,MRA_TA_013,,,,,
15,11/25/2024,3,STM,R02,HAZARD,0.411220946,STM_ROL_05,STM_TA_012,,,,,
15,11/25/2024,3,TME,R02,HAZARD,0.411220946,TME_ROL_01,TME_TA_007,,,,,
16,11/26/2024,3,CHP,R02,HAZARD,0.517069824,CHP_ROL_07,CHP_TA_012,,,,,
16,11/26/2024,3,MRA,R02,HAZARD,0.517069824,MRA_ROL_05,MRA_TA_006,,,,,
16,11/26/2024,3,PLC,R03,HAZARD,0.173940162,PLC_ROL_09,PLC_TA_007,,,,,
17,11/27/2024,3,STM,R02,NMS,0.436168854,STM_ROL_03,STM_TA_007,,,,,
18,11/28/2024,3,CHP,R02,NMS,0.466476486,CHP_ROL_07,CHP_TA_019,,,,,
19,11/29/2024,3,CHP,R02,HAZARD,0.402210264,CHP_ROL_05,CHP_TA_008,,,,,
19,11/29/2024,3,TME,R01,HAZARD,0.256602182,TME_ROL_08,TME_TA_003,,,,,
21,12/1/2024,3,MRA,R02,IMEN,0.433536799,MRA_ROL_08,MRA_TA_020,,,,,
21,12/1/2024,3,TME,R01,HAZARD,0.287272838,TME_ROL_08,TME_TA_015,,,,,
22,12/2/2024,4,CHP,R02,HAZARD,0.51049681,CHP_ROL_04,CHP_TA_013,,,,,
22,12/2/2024,4,MRA,R01,NMS,0.313465401,MRA_ROL_05,MRA_TA_011,,,,,
22,12/2/2024,4,STM,R01,HAZARD,0.313465401,STM_ROL_07,STM_TA_013,,,,,
22,12/2/2024,4,TME,R03,HAZARD,0.171743634,TME_ROL_07,TME_TA_011,,,,,
24,12/4/2024,4,TME,R02,HAZARD,0.455847871,TME_ROL_07,TME_TA_001,,,,,
25,12/5/2024,4,PLC,R02,HAZARD,0.478296976,PLC_ROL_01,PLC_TA_005,,,,,
25,12/5/2024,4,STM,R02,HAZARD,0.478296976,STM_ROL_02,STM_TA_002,,,,,
26,12/6/2024,4,CHP,R03,HAZARD,0.185723101,CHP_ROL_02,CHP_TA_006,,,,,
26,12/6/2024,4,MRA,R01,HAZARD,0.322929498,MRA_ROL_04,MRA_TA_015,,,,,
26,12/6/2024,4,STM,R02,HAZARD,0.48638461,STM_ROL_04,STM_TA_004,,,,,
26,12/6/2024,4,TME,R01,HAZARD,0.322929498,TME_ROL_05,TME_TA_013,,,,,
27,12/7/2024,4,TME,R02,HAZARD,0.486781515,TME_ROL_07,TME_TA_016,,,,,
28,12/8/2024,4,CHP,R02,NMS,0.482918316,CHP_ROL_04,CHP_TA_003,,,,,
28,12/8/2024,4,MRA,R02,NMS,0.482918316,MRA_ROL_08,MRA_TA_015,,,,,
29,12/9/2024,5,CHP,R02,HAZARD,0.530835584,CHP_ROL_07,CHP_TA_016,,,,,
29,12/9/2024,5,MRA,R01,NMS,0.324606348,MRA_ROL_05,MRA_TA_018,,,,,
29,12/9/2024,5,STM,R01,HAZARD,0.324606348,STM_ROL_05,STM_TA_008,,,,,
30,12/10/2024,5,TME,R03,NMS,0.176445765,TME_ROL_04,TME_TA_011,,,,,
31,12/11/2024,5,CHP,R02,HAZARD,0.569200738,CHP_ROL_04,CHP_TA_012,,,,,
32,12/12/2024,5,CHP,R02,HAZARD,0.54051345,CHP_ROL_01,CHP_TA_009,,,,,
33,12/13/2024,5,MRA,R01,HAZARD,0.31757459,MRA_ROL_07,MRA_TA_020,,,,,
33,12/13/2024,5,TME,R02,NMS,0.489592831,TME_ROL_07,TME_TA_010,,,,,
34,12/14/2024,5,MRA,R01,HAZARD,0.338821396,MRA_ROL_02,MRA_TA_006,,,,,
35,12/15/2024,5,PLC,R02,HAZARD,0.559888534,PLC_ROL_01,PLC_TA_014,,,,,
35,12/15/2024,5,STM,R02,NMS,0.559888534,STM_ROL_07,STM_TA_009,,,,,
35,12/15/2024,5,TME,R01,HAZARD,0.379055744,TME_ROL_05,TME_TA_010,,,,,
36,12/16/2024,6,MRA,R02,HAZARD,0.556138624,MRA_ROL_04,MRA_TA_022,,,,,
36,12/16/2024,6,TME,R01,NMS,0.341786909,TME_ROL_01,TME_TA_006,,,,,
37,12/17/2024,6,STM,R02,NMS,0.561537119,STM_ROL_07,STM_TA_017,,,,,
37,12/17/2024,6,TME,R02,NMS,0.561537119,TME_ROL_07,TME_TA_002,,,,,
38,12/18/2024,6,STM,R03,HAZARD,0.164590331,STM_ROL_04,STM_TA_006,,,,,
