id_dia,fecha,semana,fdo_backlog
1,11/11/2024,1,0.193086785
2,11/12/2024,1,0.176526281
3,11/13/2024,1,0.171885624
4,11/14/2024,1,0.20337641
5,11/15/2024,1,0.185415313
6,11/16/2024,1,0.21044318
7,11/17/2024,1,0.184944815
8,11/18/2024,2,0.279840562
9,11/19/2024,2,0.248175745
10,11/20/2024,2,0.304262655
11,11/21/2024,2,0.340538192
12,11/22/2024,2,0.268224402
13,11/23/2024,2,0.238548511
14,11/24/2024,2,0.228533709
15,11/25/2024,3,0.315543371
16,11/26/2024,3,0.421582022
17,11/27/2024,3,0.450434833
18,11/28/2024,3,0.366824325
19,11/29/2024,3,0.298957841
20,11/30/2024,3,0.281301516
21,12/1/2024,3,0.392629865
22,12/2/2024,4,0.417006169
23,12/3/2024,4,0.35519152
24,12/4/2024,4,0.44883887
25,12/5/2024,4,0.353222283
26,12/6/2024,4,0.391559186
27,12/7/2024,4,0.415032712
28,12/8/2024,4,0.368583343
29,12/9/2024,5,0.46223171
30,12/10/2024,5,0.385661986
31,12/11/2024,5,0.511323737
32,12/12/2024,5,0.430277277
33,12/13/2024,5,0.508992984
34,12/14/2024,5,0.456824047
35,12/15/2024,5,0.497167121
36,12/16/2024,6,0.494434553
37,12/17/2024,6,0.569805081
38,12/18/2024,6,0.471835295
39,12/19/2024,6,0.446674749
40,12/20/2024,6,0.469106386
41,12/21/2024,6,0.551288352
42,12/22/2024,6,0.532231412
43,12/23/2024,7,0.547172702
44,12/24/2024,7,0.619182862
45,12/25/2024,7,0.571708549
46,12/26/2024,7,0.61591583
47,12/27/2024,7,0.686437546
48,12/28/2024,7,0.581205843
49,12/29/2024,7,0.56574889
50,12/30/2024,8,0.62190263
51,12/31/2024,8,0.719222356
52,1/1/2025,8,0.661590473
53,1/2/2025,8,0.625393522
54,1/3/2025,8,0.718011726
55,1/4/2025,8,0.605039631
56,1/5/2025,8,0.662542344
57,1/6/2025,9,0.800663847
58,1/7/2025,9,0.629369526
59,1/8/2025,9,0.701971935
60,1/9/2025,9,0.72570661
61,1/10/2025,9,0.796857951
62,1/11/2025,9,0.762012133
63,1/12/2025,9,0.712795648
64,1/13/2025,10,0.669355168
65,1/14/2025,10,0.719766597
66,1/15/2025,10,0.767375755
67,1/16/2025,10,0.783426268
68,1/17/2025,10,0.758974688
69,1/18/2025,10,0.78828978
70,1/19/2025,10,0.734909735
71,1/20/2025,11,0.910360843
72,1/21/2025,11,0.792582724
73,1/22/2025,11,0.812007367
74,1/23/2025,11,0.824416234
75,1/24/2025,11,0.873932993
76,1/25/2025,11,0.754986514
77,1/26/2025,11,0.775812826
78,1/27/2025,12,0.941784606
79,1/28/2025,12,0.889847731
80,1/29/2025,12,0.916880133
81,1/30/2025,12,1
82,1/31/2025,12,0.806460404
83,2/1/2025,12,0.789443235
84,2/2/2025,12,0.931639093
