id_dia,fecha,semana,fdo_produccion
1,11/11/2024,1,0.324835708
2,11/12/2024,1,0.338371736
3,11/13/2024,1,0.213754108
4,11/14/2024,1,0.288711185
5,11/15/2024,1,0.269968066
6,11/16/2024,1,0.238957818
7,11/17/2024,1,0.294217586
8,11/18/2024,2,0.266393447
9,11/19/2024,2,0.312584578
10,11/20/2024,2,0.294735123
11,11/21/2024,2,0.372615235
12,11/22/2024,2,0.339595087
13,11/23/2024,2,0.314120774
14,11/24/2024,2,0.402977704
15,11/25/2024,3,0.409346582
16,11/26/2024,3,0.429293452
17,11/27/2024,3,0.41210242
18,11/28/2024,3,0.446687561
19,11/29/2024,3,0.359564093
20,11/30/2024,3,0.432770531
21,12/1/2024,3,0.420463906
22,12/2/2024,4,0.397613533
23,12/3/2024,4,0.478289987
24,12/4/2024,4,0.502990594
25,12/5/2024,4,0.451366958
26,12/6/2024,4,0.504995526
27,12/7/2024,4,0.410091739
28,12/8/2024,4,0.387894002
29,12/9/2024,5,0.473988946
30,12/10/2024,5,0.570871921
31,12/11/2024,5,0.546726344
32,12/12/2024,5,0.506340888
33,12/13/2024,5,0.494585225
34,12/14/2024,5,0.529004748
35,12/15/2024,5,0.485092495
36,12/16/2024,6,0.556002211
37,12/17/2024,6,0.678835083
38,12/18/2024,6,0.611458975
39,12/19/2024,6,0.654347838
40,12/20/2024,6,0.573238926
41,12/21/2024,6,0.57840314
42,12/22/2024,6,0.602143133
43,12/23/2024,7,0.645123502
44,12/24/2024,7,0.599263675
45,12/25/2024,7,0.654627596
46,12/26/2024,7,0.628322919
47,12/27/2024,7,0.586361693
48,12/28/2024,7,0.658690003
49,12/29/2024,7,0.585997867
50,12/30/2024,8,0.656471023
51,12/31/2024,8,0.69736356
52,1/1/2025,8,0.66738525
53,1/2/2025,8,0.716325381
54,1/3/2025,8,0.706718096
55,1/4/2025,8,0.791308328
56,1/5/2025,8,0.689337871
57,1/6/2025,9,0.670351976
58,1/7/2025,9,0.798254452
59,1/8/2025,9,0.682982615
60,1/9/2025,9,0.800247477
61,1/10/2025,9,0.839401033
62,1/11/2025,9,0.770666209
63,1/12/2025,9,0.811481489
64,1/13/2025,10,0.789274354
65,1/14/2025,10,0.765215745
66,1/15/2025,10,0.751265449
67,1/16/2025,10,0.755922816
68,1/17/2025,10,0.762118179
69,1/18/2025,10,0.819736939
70,1/19/2025,10,0.801082273
71,1/20/2025,11,0.845055913
72,1/21/2025,11,0.835937612
73,1/22/2025,11,0.812922417
74,1/23/2025,11,0.84294264
75,1/24/2025,11,0.850421161
76,1/25/2025,11,0.75521044
77,1/26/2025,11,0.842150556
78,1/27/2025,12,0.871155407
79,1/28/2025,12,0.928853606
80,1/29/2025,12,0.912721042
81,1/30/2025,12,0.914488743
82,1/31/2025,12,0.849595684
83,2/1/2025,12,0.941470279
84,2/2/2025,12,0.879235604
