id_incidente,fecha,semana,dia_semana,turno,id_area,id_rol,tipo_incidente,descripcion_incidente,con_lesion,dias_perdidos
INC_000001,11/11/2024,1,Lunes,T1D,STM,TME_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,TRUE,6
INC_000002,11/13/2024,1,Miércoles,T2N,MRA,CHP_ROL_01,ILEV,Incidente sintético tipo Incidente Leve con Lesión,TRUE,2
INC_000003,11/14/2024,1,Jueves,T1D,MRA,TME_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000004,11/16/2024,1,Sábado,T2N,MRA,MRA_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,TRUE,2
INC_000005,11/17/2024,1,Domingo,T1D,PLC,CHP_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,TRUE,8
INC_000006,11/19/2024,2,Martes,T2N,STM,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000007,11/23/2024,2,Sábado,T2N,PLC,CHP_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000008,11/24/2024,2,Domingo,T2N,MRA,STM_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,TRUE,0
INC_000009,11/24/2024,2,Domingo,T2N,TME,MRA_ROL_01,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000010,11/24/2024,2,Domingo,T2N,CHP,STM_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000011,11/25/2024,3,Lunes,T2N,CHP,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000012,11/27/2024,3,Miércoles,T1D,TME,PLC_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,TRUE,5
INC_000013,11/29/2024,3,Viernes,T2N,MRA,STM_ROL_01,IMED,Incidente sintético tipo Incidente Mediano con Lesión,TRUE,7
INC_000014,11/30/2024,3,Sábado,T2N,CHP,MRA_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000015,12/1/2024,3,Domingo,T2N,MRA,CHP_ROL_02,IMAY,Incidente sintético tipo Incidente Mayor con Lesión,TRUE,17
INC_000016,12/2/2024,4,Lunes,T1D,MRA,TME_ROL_02,INMI,Incidente sintético tipo Incidente sin Lesión / Casi Incidente,FALSE,0
INC_000017,12/3/2024,4,Martes,T1D,CHP,PLC_ROL_02,ILEV,Incidente sintético tipo Incidente Leve con Lesión,TRUE,2
