id_observacion,fecha,semana,id_area,rol_observador_id,rol_observado_id,tarea_id,tipo_observacion,estado,riesgo_id,is_control_critico,control_critico_id
OBS_000004,11/11/2024,1,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_017,OPG,OPG+,,FALSE,
OBS_000001,11/11/2024,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_016,OPG,OPG+,,FALSE,
OBS_000002,11/11/2024,1,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_020,OPG,OPG+,,FALSE,
OBS_000003,11/11/2024,1,MRA,MRA_ROL_06,MRA_ROL_06,MRA_TA_012,OPG,OPG+,,FALSE,
OBS_000005,11/11/2024,1,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_015,OPG,OPG+,,FALSE,
OBS_000006,11/11/2024,1,PLC,PLC_ROL_08,PLC_ROL_08,PLC_TA_008,OPG,OPG+,,FALSE,
OBS_000007,11/11/2024,1,STM,STM_ROL_05,STM_ROL_05,STM_TA_013,OPG,OPG+,,FALSE,
OBS_000945,11/11/2024,1,STM,STM_ROL_04,STM_ROL_02,STM_TA_016,OCC,OCC+,R02,TRUE,R02CC02
OBS_000008,11/11/2024,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_006,OPG,OPG+,,FALSE,
OBS_000009,11/11/2024,1,TME,TME_ROL_06,TME_ROL_06,TME_TA_007,OPG,OPG+,,FALSE,
OBS_000013,11/12/2024,1,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_019,OPG,OPG+,,FALSE,
OBS_000010,11/12/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_016,OPG,OPG+,,FALSE,
OBS_000011,11/12/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_001,OPG,OPG+,,FALSE,
OBS_000012,11/12/2024,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_017,OPG,OPG+,,FALSE,
OBS_000934,11/12/2024,1,MRA,MRA_ROL_08,MRA_ROL_02,MRA_TA_022,OCC,OCC+,R01,TRUE,R01CC06
OBS_000946,11/12/2024,1,MRA,MRA_ROL_08,MRA_ROL_05,MRA_TA_002,OCC,OCC+,R02,TRUE,R02CM01
OBS_000014,11/12/2024,1,PLC,PLC_ROL_05,PLC_ROL_05,PLC_TA_016,OPG,OPG+,,FALSE,
OBS_000015,11/12/2024,1,STM,STM_ROL_08,STM_ROL_08,STM_TA_010,OPG,OPG+,,FALSE,
OBS_000016,11/12/2024,1,STM,STM_ROL_02,STM_ROL_02,STM_TA_014,OPG,OPG+,,FALSE,
OBS_000017,11/12/2024,1,STM,STM_ROL_05,STM_ROL_05,STM_TA_012,OPG,OPG+,,FALSE,
OBS_000936,11/12/2024,1,STM,STM_ROL_08,STM_ROL_04,STM_TA_011,OCC,OCC-,R01,TRUE,R01CC05
OBS_000018,11/12/2024,1,TME,TME_ROL_01,TME_ROL_01,TME_TA_013,OPG,OPG-,,FALSE,
OBS_000019,11/12/2024,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_012,OPG,OPG+,,FALSE,
OBS_000944,11/12/2024,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_003,OCC,OCC+,R02,TRUE,R02CP05
OBS_000022,11/13/2024,1,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_004,OPG,OPG+,,FALSE,
OBS_000947,11/13/2024,1,CHP,CHP_ROL_04,CHP_ROL_08,CHP_TA_003,OCC,OCC-,R03,TRUE,R03CC01
OBS_000020,11/13/2024,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_017,OPG,OPG+,,FALSE,
OBS_000021,11/13/2024,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_020,OPG,OPG+,,FALSE,
OBS_000023,11/13/2024,1,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_012,OPG,OPG+,,FALSE,
OBS_000024,11/13/2024,1,PLC,PLC_ROL_04,PLC_ROL_04,PLC_TA_017,OPG,OPG+,,FALSE,
OBS_000940,11/13/2024,1,PLC,PLC_ROL_02,PLC_ROL_09,PLC_TA_005,OCC,OCC+,R01,TRUE,R01CC06
OBS_000025,11/13/2024,1,STM,STM_ROL_01,STM_ROL_01,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000938,11/13/2024,1,STM,STM_ROL_08,STM_ROL_08,STM_TA_018,OCC,OCC+,R01,TRUE,R01CC02
OBS_000026,11/13/2024,1,TME,TME_ROL_08,TME_ROL_08,TME_TA_015,OPG,OPG+,,FALSE,
OBS_000027,11/13/2024,1,TME,TME_ROL_03,TME_ROL_03,TME_TA_011,OPG,OPG+,,FALSE,
OBS_000939,11/13/2024,1,TME,TME_ROL_06,TME_ROL_06,TME_TA_015,OCC,OCC+,R01,TRUE,R01CC06
OBS_000031,11/14/2024,1,CHP,CHP_ROL_06,CHP_ROL_06,CHP_TA_011,OPG,OPG+,,FALSE,
OBS_000028,11/14/2024,1,MRA,MRA_ROL_03,MRA_ROL_03,MRA_TA_013,OPG,OPG+,,FALSE,
OBS_000029,11/14/2024,1,MRA,MRA_ROL_05,MRA_ROL_05,MRA_TA_019,OPG,OPG+,,FALSE,
OBS_000030,11/14/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_019,OPG,OPG+,,FALSE,
OBS_000941,11/14/2024,1,MRA,MRA_ROL_08,MRA_ROL_01,MRA_TA_021,OCC,OCC+,R01,TRUE,R01CP06
OBS_000032,11/14/2024,1,PLC,PLC_ROL_10,PLC_ROL_10,PLC_TA_010,OPG,OPG+,,FALSE,
OBS_000033,11/14/2024,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_001,OPG,OPG+,,FALSE,
OBS_000948,11/14/2024,1,PLC,PLC_ROL_06,PLC_ROL_12,PLC_TA_002,OCC,OCC+,R03,TRUE,R03CM02
OBS_000034,11/14/2024,1,STM,STM_ROL_04,STM_ROL_04,STM_TA_002,OPG,OPG+,,FALSE,
OBS_000035,11/14/2024,1,STM,STM_ROL_03,STM_ROL_03,STM_TA_017,OPG,OPG+,,FALSE,
OBS_000036,11/14/2024,1,TME,TME_ROL_07,TME_ROL_07,TME_TA_005,OPG,OPG+,,FALSE,
OBS_000037,11/14/2024,1,TME,TME_ROL_04,TME_ROL_04,TME_TA_002,OPG,OPG+,,FALSE,
OBS_000038,11/14/2024,1,TME,TME_ROL_02,TME_ROL_02,TME_TA_007,OPG,OPG-,,FALSE,
OBS_000042,11/15/2024,1,CHP,CHP_ROL_04,CHP_ROL_04,CHP_TA_018,OPG,OPG+,,FALSE,
OBS_000043,11/15/2024,1,CHP,CHP_ROL_08,CHP_ROL_08,CHP_TA_017,OPG,OPG+,,FALSE,
OBS_000044,11/15/2024,1,CHP,CHP_ROL_03,CHP_ROL_03,CHP_TA_015,OPG,OPG+,,FALSE,
OBS_000942,11/15/2024,1,CHP,CHP_ROL_06,CHP_ROL_04,CHP_TA_011,OCC,OCC+,R02,TRUE,R02CC01
OBS_000039,11/15/2024,1,MRA,MRA_ROL_07,MRA_ROL_07,MRA_TA_005,OPG,OPG+,,FALSE,
OBS_000040,11/15/2024,1,MRA,MRA_ROL_04,MRA_ROL_04,MRA_TA_014,OPG,OPG+,,FALSE,
OBS_000041,11/15/2024,1,MRA,MRA_ROL_08,MRA_ROL_08,MRA_TA_002,OPG,OPG+,,FALSE,
OBS_000935,11/15/2024,1,MRA,MRA_ROL_01,MRA_ROL_06,MRA_TA_021,OCC,OCC-,R01,TRUE,R01CC02
OBS_000045,11/15/2024,1,PLC,PLC_ROL_09,PLC_ROL_09,PLC_TA_012,OPG,OPG+,,FALSE,
OBS_000046,11/15/2024,1,PLC,PLC_ROL_12,PLC_ROL_12,PLC_TA_009,OPG,OPG+,,FALSE,
OBS_000047,11/15/2024,1,STM,STM_ROL_04,STM_ROL_04,STM_TA_009,OPG,OPG+,,FALSE,
OBS_000937,11/15/2024,1,STM,STM_ROL_04,STM_ROL_01,STM_TA_013,OCC,OCC-,R01,TRUE,R01CM03
OBS_000048,11/15/2024,1,TME,TME_ROL_05,TME_ROL_05,TME_TA_010,OPG,OPG+,,FALSE,
OBS_000053,11/16/2024,1,CHP,CHP_ROL_02,CHP_ROL_02,CHP_TA_012,OPG,OPG+,,FALSE,
OBS_000054,11/16/2024,1,CHP,CHP_ROL_05,CHP_ROL_05,CHP_TA_016,OPG,OPG+,,FALSE,
OBS_000055,11/16/2024,1,CHP,CHP_ROL_09,CHP_ROL_09,CHP_TA_009,OPG,OPG+,,FALSE,
