id_observacion,fecha,semana,dia_semana,turno,id_area,id_rol,tipo_observacion,descripcion_observacion,accion_inmediata
OBS_000001,11/11/2024,1,Lunes,T1D,MRA,TME_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000002,11/11/2024,1,Lunes,T1D,CHP,CHP_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000003,11/11/2024,1,Lunes,T1D,PLC,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000004,11/11/2024,1,Lunes,T2N,MRA,MRA_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000005,11/11/2024,1,Lunes,T1D,CHP,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000006,11/12/2024,1,Martes,T1D,PLC,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000007,11/12/2024,1,Martes,T2N,CHP,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000008,11/12/2024,1,Martes,T2N,MRA,CHP_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000009,11/12/2024,1,Martes,T2N,TME,TME_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000010,11/12/2024,1,Martes,T1D,CHP,TME_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000011,11/13/2024,1,Miércoles,T1D,MRA,STM_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000012,11/13/2024,1,Miércoles,T1D,TME,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000013,11/14/2024,1,Jueves,T2N,MRA,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000014,11/14/2024,1,Jueves,T1D,STM,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000015,11/14/2024,1,Jueves,T2N,PLC,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000016,11/15/2024,1,Viernes,T1D,MRA,MRA_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000017,11/15/2024,1,Viernes,T1D,TME,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000018,11/15/2024,1,Viernes,T1D,MRA,STM_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000019,11/15/2024,1,Viernes,T2N,STM,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000020,11/16/2024,1,Sábado,T1D,TME,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000021,11/16/2024,1,Sábado,T1D,TME,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000022,11/17/2024,1,Domingo,T1D,PLC,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000023,11/17/2024,1,Domingo,T1D,STM,STM_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000024,11/17/2024,1,Domingo,T2N,PLC,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000025,11/17/2024,1,Domingo,T2N,MRA,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000026,11/17/2024,1,Domingo,T1D,TME,STM_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000027,11/18/2024,2,Lunes,T2N,MRA,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000028,11/18/2024,2,Lunes,T2N,CHP,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000029,11/18/2024,2,Lunes,T2N,STM,CHP_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000030,11/19/2024,2,Martes,T2N,CHP,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000031,11/19/2024,2,Martes,T2N,PLC,STM_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000032,11/19/2024,2,Martes,T2N,TME,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000033,11/19/2024,2,Martes,T1D,PLC,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000034,11/19/2024,2,Martes,T1D,MRA,MRA_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000035,11/19/2024,2,Martes,T1D,CHP,STM_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000036,11/19/2024,2,Martes,T1D,STM,STM_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000037,11/19/2024,2,Martes,T2N,PLC,TME_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000038,11/20/2024,2,Miércoles,T1D,MRA,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000039,11/20/2024,2,Miércoles,T2N,TME,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000040,11/21/2024,2,Jueves,T2N,STM,CHP_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000041,11/21/2024,2,Jueves,T2N,MRA,TME_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000042,11/21/2024,2,Jueves,T1D,PLC,MRA_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000043,11/22/2024,2,Viernes,T2N,PLC,PLC_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000044,11/22/2024,2,Viernes,T1D,CHP,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000045,11/22/2024,2,Viernes,T1D,PLC,PLC_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000046,11/23/2024,2,Sábado,T1D,PLC,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000047,11/23/2024,2,Sábado,T2N,MRA,MRA_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000048,11/23/2024,2,Sábado,T2N,TME,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000049,11/23/2024,2,Sábado,T1D,CHP,PLC_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000050,11/23/2024,2,Sábado,T1D,MRA,STM_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000051,11/24/2024,2,Domingo,T1D,PLC,CHP_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000052,11/24/2024,2,Domingo,T1D,STM,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000053,11/25/2024,3,Lunes,T1D,TME,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000054,11/25/2024,3,Lunes,T2N,CHP,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000055,11/25/2024,3,Lunes,T1D,TME,STM_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000056,11/26/2024,3,Martes,T2N,STM,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000057,11/26/2024,3,Martes,T2N,MRA,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000058,11/26/2024,3,Martes,T1D,MRA,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000059,11/26/2024,3,Martes,T1D,PLC,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000060,11/27/2024,3,Miércoles,T1D,PLC,CHP_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000061,11/27/2024,3,Miércoles,T1D,MRA,MRA_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000062,11/27/2024,3,Miércoles,T1D,MRA,MRA_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000063,11/27/2024,3,Miércoles,T2N,MRA,PLC_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000064,11/27/2024,3,Miércoles,T1D,TME,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000065,11/27/2024,3,Miércoles,T1D,PLC,CHP_ROL_01,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000066,11/28/2024,3,Jueves,T2N,CHP,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000067,11/28/2024,3,Jueves,T2N,CHP,MRA_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
OBS_000068,11/29/2024,3,Viernes,T1D,STM,TME_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000069,11/29/2024,3,Viernes,T2N,STM,STM_ROL_02,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000070,11/29/2024,3,Viernes,T1D,MRA,MRA_ROL_01,OPG,Observación sintética tipo Observación Preventiva de Gestión,Acción sintética registrada.
OBS_000071,11/29/2024,3,Viernes,T2N,TME,MRA_ROL_02,OCC,Observación sintética tipo Observación de Condición Crítica,Acción sintética registrada.
