semana,criticidad_R01_media,criticidad_R02_media,criticidad_R03_media,criticidad_global_media
1,0.238998913,0.37585882,0.175273194,0.291497437
2,0.29859992,0.410015921,0.184553252,0.325796254
3,0.277548873,0.43750133,0.193955956,0.336626872
4,0.321047513,0.49179406,0.170724743,0.368840094
5,0.319022638,0.54063832,0.175150352,0.393862407
6,0.365454183,0.57599133,0.182931619,0.425092116
7,0.389865092,0.613394856,0.183985613,0.450160104
8,0.41689647,0.678859027,0.185428483,0.490010752
9,0.429940915,0.701255753,0.17642454,0.502219241
10,0.47689335,0.744421672,0.18336716,0.537275963
11,0.488038227,0.814575937,0.177447224,0.573659331
12,0.504366736,0.859326333,0.176154398,0.59979345
